Date,YTD,S&P 500,Dummy,Dumm2
22-Sep-25,0%,0%,"3,722,947",6693.75
23-Sep-25,0.17%,-0.55%,"3,729,344",6656.92
24-Sep-25,-0.53%,-0.83%,"3,703,200",6637.97
25-Sep-25,-2.75%,-1.33%,"3,620,668",6604.72
26-Sep-25,-2.24%,-0.75%,"3,639,720",6643.7
27-Sep-25,-2.23%,-0.49%,"3,639,756",6661.21
28-Sep-25,-2.23%,-0.49%,"3,640,063",6661.21
29-Sep-25,-0.54%,-0.49%,"3,702,692",6661.21
30-Sep-25,-0.71%,-0.08%,"3,696,557",6688.46
01-Oct-25,1.14%,0.26%,"3,765,474",6711.2
02-Oct-25,2.88%,0.32%,"3,830,016",6715.35
03-Oct-25,3.01%,0.33%,"3,835,084",6715.79
04-Oct-25,3.01%,0.70%,"3,835,106",6740.28
05-Oct-25,3.14%,0.70%,"3,839,906",6740.28
06-Oct-25,3.95%,0.70%,"3,869,992",6740.28
07-Oct-25,2.10%,0.31%,"3,800,988",6714.59
08-Oct-25,2.79%,0.90%,"3,826,851",6753.72
09-Oct-25,1.19%,0.62%,"3,767,124",6735.11
10-Oct-25,-1.26%,-2.11%,"3,676,034",6552.51
11-Oct-25,-1.29%,-0.58%,"3,674,802",6654.72
12-Oct-25,-1.27%,-0.58%,"3,675,716",6654.72
13-Oct-25,0.72%,-0.58%,"3,749,774",6654.72
14-Oct-25,-0.30%,-0.74%,"3,711,852",6644.31
15-Oct-25,-0.24%,-0.34%,"3,714,156",6671.06
16-Oct-25,-1.29%,-0.97%,"3,674,794",6629.07
17-Oct-25,-1.86%,-0.44%,"3,653,659",6664.01
18-Oct-25,-1.86%,0.62%,"3,653,724",6735.13
19-Oct-25,-1.84%,0.62%,"3,654,441",6735.13
20-Oct-25,-0.82%,0.62%,"3,692,381",6735.13
21-Oct-25,-0.80%,0.62%,"3,693,170",6735.35
22-Oct-25,-2.81%,0.08%,"3,618,333",6699.4
23-Oct-25,-2.12%,0.67%,"3,644,139",6738.44
24-Oct-25,-1.57%,1.46%,"3,664,644",6791.69
25-Oct-25,-1.56%,2.71%,"3,664,921",6875.16
26-Oct-25,-1.54%,2.71%,"3,665,754",6875.16
27-Oct-25,-0.65%,2.71%,"3,698,850",6875.16
28-Oct-25,-1.36%,2.95%,"3,672,411",6890.89
29-Oct-25,-2.63%,2.94%,"3,625,191",6890.59
